project_id,category_id
1,1
2,1
3,1
4,2
5,2
6,2
12,1
17,1
28,1
35,1
9,2
11,2
7,2
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
